Name,Company,Cell Type,Cap (mAh),Continuous C-Rate,Max C Rate,Cells (S),Cells (P),Max Voltage per cell,Min Voltage per cell,Weight (Kg),Price ($),Energy Density (Wh/Kg),Energy per dollar (Wh/Price),Link,Discription
Tattu AGRI 22000mAh 45.6V 25C 12S1P High Voltage Lipo Battery Pack with AS150-F,TATTU,Ultra High Voltage LiPo,22000,9,25,12,1,4.45,3,5.85,667.39,200.82,1760.29,https://genstattu.com/tattu-agri-16000mah-45-6v-25c-12s1p-high-voltage-lipo-battery-pack-with-as150u-f/,
Tattu AGRI 16000mAh 45.6V 25C 12S1P High Voltage Lipo Battery Pack with AS150U-F,TATTU,Ultra High Voltage LiPo,16000,9,25,12,1,4.45,3,4.55,533.91,187.78,1600.27,https://genstattu.com/tattu-agri-16000mah-45-6v-25c-12s1p-high-voltage-lipo-battery-pack-with-as150u-f/,
Tattu Pro 22000mAh 53.2V 25C 14S1P HV Lipo Smart Battery Pack with AS150U-F Plug,TATTU,LiPo,22000,9,25,14,1,4.2,2.73,6.55,857.22,197.5,1509.06,https://genstattu.com/tattu-pro-22000mah-53-2v-25c-14s1p-hv-lipo-smart-battery-pack-with-as150u-f-plug/,
Tattu Pro 22000mAh 45.6V 25C 12S1P HV Lipo Smart Battery Pack with AS150U-F Plug,TATTU,LiPo,22000,9,25,12,1,4.2,2.73,5.75,752.56,192.83,1473.37,https://genstattu.com/tattu-pro-22000mah-45-6v-25c-12s1p-hv-lipo-smart-battery-pack-with-as150u-f-plug/,
Tattu 3.0 30000mah 68.4V 18S1P 35C Lipo Smart Battery Pack with ACE Plug,TATTU,LiPo,30000,13,35,18,1,4.2,2.73,13.8,1295.31,164.35,1750.93,https://genstattu.com/tattu-3-0-30000mah-68-4v-18s1p-35c-lipo-smart-battery-pack-with-ace-plug/,
Tattu Plus 1.0 Compact Version 10000mAh 44.4V 15C 12S1P Lipo Smart Battery Pack with AS150UPlug,TATTU,LiPo,10000,5,15,12,1,4.2,2.73,2.978,550,169.24,916.36,https://genstattu.com/tattu-plus-1-0-compact-version-10000mah-44-4v-15c-12s1p-lipo-smart-battery-pack-with-as150uplug/,
Tattu Plus 22000mAh 44.4V 25C 12S1P Lipo Smart Battery Pack with AS150 Plug,TATTU,LiPo,22000,9,25,12,1,4.2,2.73,5.8,870,191.17,1274.48,https://genstattu.com/tattu-plus-22000mah-44-4v-25c-12s1p-lipo-smart-battery-pack-with-as150-plug/,
Tattu Plus 1.0 Compact Version 10000mAh 44.4V 15C 12S1P Lipo Smart Battery Pack with XT90-S Plug,TATTU,LiPo,10000,5,15,12,1,4.2,2.73,2.94,550,171.43,916.36,https://genstattu.com/tattu-plus-1.0-compact-version-10000mah-44.4v-15c-12s1p-lipo-smart-battery-pack-with-xt90-s-plug/,
Tattu G-Tech 4S 22000mAh 14.8V 25C Lipo Battery with XT90-S Plug for UAV,TATTU,LiPo,22000,9,25,4,1,4.2,2.73,2.45,355,150.86,1041.13,https://genstattu.com/tattu-g-tech-4s-22000mah-14-8v-25c-lipo-battery-with-xt90-s-plug-for-uav/,
Tattu G-Tech 30000mAh 6S 22.2V 25C Lipo Battery Pack with AS150U-F Plug,TATTU,LiPo,30000,9,25,6,1,4.2,2.73,3.5,533,216,1418.39,https://genstattu.com/tattu-g-tech-30000mah-6s-22-2v-25c-lipo-battery-pack-with-as150u-f-plug/,
